,X,Event,x,y,end_x,end_y,outcome,Special,Start PV,End PV,Net PV
1,1,Pass,77,62,90,75,Yes,None,0.0195,0.0248,0.0053
2,2,Pass,67,60,72,75,Yes,None,0.0155,0.0156,1E-04
3,3,Pass,30,62,30,75,Yes,None,0.0082,0.0074,-0.0008
4,4,Pass,60,76,64,74,No,None,0.0123,0.013,0.0007
5,5,Pass,53,62,70,68,Yes,None,0.0125,0.0153,0.0028
6,6,Pass,50,58,67,66,Yes,None,0.0119,0.0144,0.0025
7,7,Carry,60,76,82,64,Yes,None,0.0123,0.022,0.0097
8,8,Pass,82,62,74,64,Yes,None,0.0223,0.0174,-0.0049
9,9,Pass,90,72,70,64,Yes,None,0.0252,0.0162,-0.009
10,10,Carry,80,80,96,62,Yes,None,0.0181,0.0341,0.016
11,11,Carry,40,55,77,62,Yes,None,0.0103,0.0195,0.0092
12,12,Pass,82,46,98,60,Yes,None,0.0232,0.039,0.0158
13,13,Pass,96,59,85,60,Yes,None,0.039,0.0238,-0.0152
14,14,Carry,62,53,67,60,Yes,None,0.015,0.0155,0.0005
15,15,Carry,97,68,104,59,No,Fouled??,0.0296,0.0471,0.0175
16,16,Pass,90,72,96,59,Yes,None,0.0252,0.039,0.0138
17,17,Carry,96,74,96,58,Yes,None,0.03,0.039,0.009
18,18,Pass,90,64,94,58,Yes,None,0.0267,0.0353,0.0086
19,19,Carry,46,57,50,58,Yes,None,0.0114,0.0119,0.0005
20,20,Pass,82,64,87,56,Yes,None,0.022,0.0263,0.0043
21,21,Pass,105,55,100,55,Yes,None,0.0653,0.0465,-0.0188
22,22,Pass,63,64,54,54,Yes,None,0.014,0.0132,-0.0008
23,23,Pass,116,67,112,53,No,None,0.0438,0.0784,0.0346
24,24,Dribble,92,50,92,50,Yes,Nutmeg,0.0373,0.0373,0
25,25,Pass,98,57,90,50,Yes,None,0.0413,0.0344,-0.0069
26,26,Pass,96,58,90,46,Yes,None,0.039,0.0352,-0.0038
27,27,Carry,74,43,82,46,Yes,None,0.0184,0.0232,0.0048
28,28,Pass,87,53,114,35,No,Offside,0.0286,0.1982,0.1696
29,29,Carry,94,55,98,33,Yes,None,0.038,0.0555,0.0175
30,30,Pass,98,33,114,31,No,None,0.0555,0.1347,0.0792
31,31,Pass,82,56,108,22,Yes,None,0.0227,0.0541,0.0314
